ID, Pregunta, Respuesta correcta, Respuesta incorrecta 1, Respuesta incorrecta 2, Respuesta incorrecta 3, Puntuacion
1, Que significa CPU?, Central Processing Unit, Computer Personal Unit, Central Process Unit, Central Processor Unit, 1
2, ¿Sistema operativo predeterminado en la mayoria de las PC?, Windows, macOS, Linux, Android, 1
3, ¿Proposito de un firewall en una red?, Proteger contra amenazas, Mejorar velocidad de conexion, Filtrar publicidad, Ampliar memoria RAM, 2
4, ¿Significado de HTML en desarrollo web?, HyperText Markup Language, High-Level Programming Language, Human-Technology Modeling Language, HyperTransfer and Multimedia Language, 1
5, ¿Protocolo de transferencia de archivos mas comun?, FTP, HTTP, SMTP, TCP, 1
6, ¿Que significa RAM en informatica?, Random Access Memory, Read-Only Memory, Real-time Application Memory, Remote Administration Module, 1
7, ¿Proposito principal de un router en red domestica?, Dirigir trafico de red, Almacenar archivos, Imprimir documentos, Escanear virus, 2
8, ¿Que es un virus informatico?, Software malicioso, Programa de seguridad, Dispositivo de almacenamiento, Herramienta de desarrollo, 1
9, ¿Lenguaje de programacion de Android?, Java, Swift, C++, Python, 1
10, ¿Que es un SSD en almacenamiento de datos?, Solid State Drive, Super Speed Disk, System Storage Device, Software Storage Drive, 1
11, ¿Sigla de direccion IP?, IP, URL, HTML, DNS, 1
12, ¿Que es un navegador web?, Aplicacion para acceder a internet, Software de edicion de fotos, Sistema operativo, Reproductor de musica, 1
13, ¿Cual es el formato de imagen mas comun en la web?, JPEG, GIF, TIFF, BMP, 1
14, ¿En que se utiliza el protocolo HTTPS?, Seguridad en la transferencia de datos, Envio de correos electronicos, Acceso remoto, Transmision de videos, 2
15, ¿Que es un archivo ZIP?, Archivo comprimido, Documento de texto, Imagen, Video, 1
16, ¿Que es un archivo PDF?, Portable Document Format, Personal Document File, Print Document Format, Program Data File, 1
17, ¿Cual es el proposito de un programa antivirus?, Detectar y eliminar virus, Mejorar la velocidad de la computadora, Organizar archivos, Crear contrasenas, 1
18, ¿Que significa USB?, Universal Serial Bus, United Service Box, Ultra Speed Band, Universal Software Base, 1
19, ¿En que se utiliza el protocolo DNS?, Traduccion de nombres de dominio a direcciones IP, Transferencia de archivos, Acceso remoto, Seguridad en linea, 2
20, ¿Que es un servidor web?, Computadora que almacena y distribuye paginas web, Software de edicion de imagenes, Aplicacion de mensajeria, Programa de diseno grafico, 2
21, ¿Cual es el proposito de un sistema operativo?, Gestionar recursos y facilitar la interaccion del usuario, Reproducir musica, Crear presentaciones, Navegar por internet, 1
22, ¿Que es un programa de codigo abierto?, Software cuyo codigo fuente es accesible y modificable, Software protegido por derechos de autor, Programa que funciona sin conexion a internet, Aplicacion movil, 2
23, ¿Que es un ransomware?, Tipo de malware que cifra archivos y pide un rescate, Programa de seguridad, Dispositivo de almacenamiento, Herramienta de desarrollo, 2
24, ¿Cual es la funcion principal de un gestor de contrasenas?, Almacenar y proteger contrasenas, Crear cuentas de correo electronico, Escanear virus, Optimizar el rendimiento del sistema, 1
